Genome_ID,Microbiome,Gene_count,DNA_UMAP_1,DNA_UMAP_2,DNA_cluster,Functional_UMAP_1,Functional_UMAP_2,Functional_cluster
SGB034,Vaginal,1375,9.768025,1.7956157,4,0.8341218,0.83480674,7
SGB035,Vaginal,1405,12.023311,1.3098404,4,-10.27797,15.438507,0
SGB036,Vaginal,1378,12.607561,-1.348244,4,0.42472598,-4.0100927,4
SGB037,Vaginal,1554,12.356341,2.7573445,4,0.93493545,2.302931,7
SGB038,Vaginal,438,10.477486,-3.133387,-1,3.3954887,-3.3182805,-1
SGB039,Vaginal,1952,12.629156,-1.2690148,4,0.34748137,-4.0551887,4
SGB040,Vaginal,1389,12.696433,-0.76556915,4,0.44451287,-3.7347806,4
SGB041,Vaginal,1188,0.15876399,4.196215,0,17.014784,-0.5201562,1
SGB042,Vaginal,1181,0.19422296,4.2667136,0,16.955973,-0.35016286,1
SGB043,Vaginal,1018,12.50553,0.083964795,4,0.8820751,-2.3964605,-1
SGB044,Vaginal,1140,0.5605195,4.333358,0,16.970243,-0.3748256,1
SGB045,Vaginal,1059,13.620717,2.0535545,-1,0.29721004,-2.242548,-1
SGB046,Vaginal,1142,4.9583154,7.234863,2,1.961231,-0.80271965,6
SGB047,Vaginal,1296,10.839155,3.4518158,4,-10.1538315,14.784318,0
SGB048,Vaginal,2422,9.380284,5.247863,3,-9.717245,15.704905,0
SGB049,Vaginal,1684,12.536659,3.8333867,4,2.057577,1.4567114,7
SGB050,Vaginal,1494,12.375468,3.6635423,4,0.4754488,2.1612248,7
SGB051,Vaginal,1668,12.709194,3.2343347,4,0.9599874,2.4354944,7
SGB052,Vaginal,1828,11.076977,6.2717047,4,-9.93611,14.051991,0
SGB053,Vaginal,1786,2.8222663,-0.5705884,1,16.711853,0.085568525,1
SGB054,Vaginal,1562,9.711406,5.073355,3,-10.454124,15.710275,0
SGB055,Vaginal,1725,2.9737072,1.6396652,1,14.417977,7.820723,2
SGB056,Vaginal,1174,0.19751517,4.109453,0,16.93623,-0.4333053,1
SGB057,Vaginal,1948,13.925651,-1.4147904,4,-1.4107741,-3.6407785,5
SGB058,Vaginal,1028,0.5623454,4.3138623,0,16.985262,-0.7297506,1
SGB059,Vaginal,1974,9.620457,1.812249,4,2.8232942,11.134446,3
SGB060,Vaginal,2582,13.041508,-1.2217124,4,-0.9125984,-4.166721,4
SGB061,Vaginal,2063,8.818194,4.9878674,3,-9.979402,15.964015,0
SGB062,Vaginal,1874,8.177739,2.6675231,4,-0.3150313,1.0449414,8
SGB063,Vaginal,757,11.084625,4.890794,4,2.574242,-2.5562685,-1
SGB064,Vaginal,1804,12.668594,-0.8883561,4,0.5242786,-3.9786189,4
SGB065,Vaginal,1038,0.14615461,4.1456275,0,17.122246,-0.5893832,1
SGB066,Vaginal,1188,8.452873,2.6390076,4,13.998453,8.194736,2
SGB067,Vaginal,1714,8.471997,5.150437,3,-10.037828,15.44836,0
SGB068,Vaginal,1107,0.1987019,4.1115355,0,17.017181,-0.46693993,1
SGB069,Vaginal,1065,0.13429621,4.3470216,0,17.053505,-0.51919246,1
SGB070,Vaginal,1318,9.118025,1.5413259,4,0.13394563,4.430345,-1
SGB071,Vaginal,1880,8.47382,5.1078143,3,-10.030616,15.792873,0
SGB072,Vaginal,1594,12.726994,-0.68651825,4,0.412278,-3.8572202,4
SGB073,Vaginal,1068,5.47464,7.443041,2,1.4541285,-1.0175055,6
SGB074,Vaginal,1345,10.988903,5.1533246,4,-9.960761,14.038169,0
SGB075,Vaginal,2219,9.496398,4.919974,3,-9.714737,15.835829,0
SGB076,Vaginal,5002,5.348595,-0.096165165,1,3.6486669,12.314422,3
SGB077,Vaginal,1574,12.328963,-2.1550457,4,0.07606773,-4.3380127,4
SGB078,Vaginal,431,10.5161495,-3.1194718,-1,3.3898594,-3.3177865,-1
SGB079,Vaginal,1518,11.081453,6.2976546,4,-9.857685,13.943811,0
SGB080,Vaginal,1217,12.526326,-1.0102335,4,0.9794317,0.53348047,7
SGB081,Vaginal,1640,11.890349,1.9513899,4,1.5330533,1.6217344,7
SGB082,Vaginal,842,11.123113,2.7076628,4,0.8907822,0.13882552,7
SGB083,Vaginal,1061,0.3090858,4.4917026,0,17.059656,-0.77382094,1
SGB084,Vaginal,1105,0.5817224,4.343906,0,17.129559,-0.45376945,1
SGB085,Vaginal,1034,5.4557977,7.502559,2,1.3947668,-0.9957794,6
SGB086,Vaginal,1170,5.119242,7.3837705,2,1.3445544,-0.8091991,6
SGB087,Vaginal,1682,12.763677,3.264792,4,0.95022184,2.4649243,7
SGB088,Vaginal,1022,12.406628,0.05377488,4,0.8585229,-2.3726656,-1
SGB089,Vaginal,1879,12.752914,-0.8425131,4,0.5007945,-3.9887085,4
SGB090,Vaginal,1469,11.20243,0.7524544,4,0.085986525,4.1280246,-1
SGB091,Vaginal,1705,12.3073845,-2.1160018,4,0.02208341,-4.3548684,4
SGB092,Vaginal,1081,0.38918203,4.5010753,0,17.030626,-0.5787053,1
SGB093,Vaginal,1105,12.827074,-0.62401253,4,0.4275322,-3.7182133,4
SGB094,Vaginal,2287,11.891249,0.42612913,4,-1.0985423,-4.6874666,4
SGB095,Vaginal,1095,9.80752,1.889579,4,0.9982716,0.50266975,7
SGB096,Vaginal,1561,12.729886,3.2619565,4,0.9166538,2.5111089,7
SGB097,Vaginal,1450,9.688447,2.3232625,4,0.7713231,2.051419,7
SGB098,Vaginal,2103,2.41585,0.41102034,1,14.701075,10.096492,2
SGB099,Vaginal,1886,2.8945138,-0.6654184,1,16.675987,0.121192776,1
SGB100,Vaginal,2234,9.168567,4.8235354,3,-9.651121,16.02346,0
SGB101,Vaginal,1364,12.391927,3.670116,4,0.48851192,2.0609515,7
SGB102,Vaginal,935,9.820711,1.6514623,4,0.94239974,0.6400036,7
SGB103,Vaginal,886,12.038093,1.4600142,4,13.922775,8.085748,2
SGB104,Vaginal,2275,11.858511,0.3831772,4,-1.120893,-4.6863546,4
SGB105,Vaginal,1707,9.530494,5.1828647,3,-10.138628,15.528486,0
SGB106,Vaginal,936,9.599471,1.8909289,4,0.018381832,4.125702,-1
SGB107,Vaginal,1199,12.305093,0.23741513,4,0.87408096,-0.25224057,-1
SGB108,Vaginal,2217,13.133158,-1.2448841,4,-0.92714137,-4.170663,4
SGB109,Vaginal,1492,12.188502,4.2622795,4,0.46912763,2.3738415,7
SGB110,Vaginal,911,12.400055,0.04285695,4,0.9230119,-2.4038556,-1
SGB111,Vaginal,1862,14.297683,-1.5656564,4,-1.7881625,-3.3311281,5
SGB112,Vaginal,1639,12.34528,-2.0840397,4,0.16203028,-4.246959,4
SGB113,Vaginal,1312,8.737285,1.9136273,4,0.12592572,4.481809,-1
SGB114,Vaginal,1766,12.635563,3.8920417,4,2.1295614,1.4515866,7
SGB115,Vaginal,2288,9.012836,4.7847652,3,-9.708018,15.760244,0
SGB116,Vaginal,2075,2.5341477,0.24864295,1,14.542209,10.568478,2
SGB117,Vaginal,4968,5.0340924,-0.5905311,1,3.5970407,12.352711,3
SGB118,Vaginal,4432,5.2937965,-0.13613363,1,3.536652,12.280168,3
SGB119,Vaginal,898,0.6113588,4.328919,0,16.93588,-0.86239547,1
SGB120,Vaginal,1384,12.412403,2.7481604,4,1.1676813,1.9932791,7
SGB121,Vaginal,1742,9.065943,5.2746806,3,-10.422155,15.852112,0
SGB122,Vaginal,956,9.589266,1.8091371,4,0.07245143,4.1511745,-1
SGB123,Vaginal,2037,2.3681207,0.84356844,1,14.500926,10.541244,2
SGB124,Vaginal,1832,12.314479,-2.1674263,4,0.015847042,-4.3500957,4
SGB125,Vaginal,819,13.88339,2.1158626,-1,0.58830667,-1.106631,6
SGB126,Vaginal,850,13.440723,2.0718284,-1,0.2820917,-2.315405,-1
SGB127,Vaginal,1525,10.889848,4.211425,4,-10.383499,15.4273205,0
SGB128,Vaginal,1726,10.786451,2.3922865,4,1.3399605,1.6641049,7
SGB129,Vaginal,1390,12.761268,-0.8948852,4,0.64113885,-3.8484097,4
SGB130,Vaginal,1403,2.8324986,0.07477832,1,14.148353,8.260491,2
SGB131,Vaginal,1696,2.7425387,-0.56895506,1,16.722494,0.13911587,1
SGB132,Vaginal,1430,0.057816945,4.4678707,0,16.78903,0.0007060236,1
SGB133,Vaginal,2006,2.6804268,0.45949942,1,14.598629,10.494138,2
SGB134,Vaginal,955,13.774393,1.9383765,-1,0.5816747,-1.0971073,6
SGB135,Vaginal,885,12.509269,-0.50338227,4,0.58076113,-3.3247917,4
SGB136,Vaginal,1664,2.1429646,2.2857153,1,14.233375,8.143442,2
SGB137,Vaginal,1300,8.432492,5.1133943,3,-10.330854,15.648713,0
SGB138,Vaginal,2515,11.865795,0.35771617,4,-1.0634674,-4.7401505,4
SGB139,Vaginal,1527,13.76358,-1.8657228,4,-1.0083271,-3.2055464,5
SGB140,Vaginal,1523,12.807098,3.3038652,4,0.90961254,2.4819694,7
SGB141,Vaginal,433,10.491462,-3.1298392,-1,3.3446474,-3.2669084,-1
SGB142,Vaginal,1390,11.408252,3.5188751,4,1.2597344,1.696034,7
SGB143,Vaginal,2163,1.8529462,1.3943577,1,14.907934,10.763625,2
SGB144,Vaginal,1802,9.007059,5.2931128,3,-10.353706,15.8293705,0
SGB145,Vaginal,2269,2.4728594,0.76932317,1,14.636829,10.652906,2
SGB146,Vaginal,982,0.34103853,4.4525914,0,17.05503,-0.7701449,1
SGB147,Vaginal,2144,10.434999,-3.17325,-1,2.8773758,11.250482,3
SGB148,Vaginal,1991,2.8603086,-0.6201606,1,16.670963,0.13733724,1
SGB149,Vaginal,761,13.818939,2.0149288,-1,0.5586067,-1.1290576,-1
SGB150,Vaginal,1637,8.75821,4.950751,3,-10.319122,15.920023,0
SGB151,Vaginal,2079,2.3972065,0.3081727,1,14.564325,10.566386,2
SGB152,Vaginal,1898,2.4417417,0.47769597,1,14.555641,8.729404,2
SGB153,Vaginal,1676,10.64482,2.7687848,4,0.05069866,0.7715952,8
SGB154,Vaginal,3424,11.916331,-0.5252569,4,3.4882357,12.111262,3
SGB155,Vaginal,1831,7.6499205,2.5310261,4,-0.31927618,1.2802649,8
SGB156,Vaginal,1579,13.600851,-1.4756465,4,-1.2230525,-3.5347676,5
SGB157,Vaginal,1822,12.590038,-1.3138167,4,0.41518804,-4.058473,4
SGB158,Vaginal,1763,12.851065,-0.77182394,4,0.5424342,-4.0266905,4
SGB159,Vaginal,1159,9.055337,2.4949543,4,1.0033275,1.3048549,7
SGB160,Vaginal,1513,2.0185053,0.8173493,1,14.161045,8.683861,2
SGB161,Vaginal,1129,12.37557,0.113034606,4,0.8400476,-2.3645988,-1
SGB162,Vaginal,1598,10.992976,5.800664,4,-9.969838,14.334157,0
SGB163,Vaginal,1447,10.992306,6.106461,4,-10.060683,14.2396965,0
SGB164,Vaginal,1707,2.9339225,1.7117432,1,14.343921,7.8644176,2
SGB165,Vaginal,1730,2.7152193,0.05777449,1,14.302657,9.533702,2
SGB166,Vaginal,1542,11.173521,0.8050155,4,0.14162597,4.1252623,-1
SGB167,Vaginal,994,9.8081255,1.8380141,4,0.9276247,0.40982285,7
SGB168,Vaginal,1039,5.433991,7.45628,2,1.3625768,-1.0328526,6
SGB169,Vaginal,980,10.910902,4.2141647,4,-10.546657,15.458672,0
SGB170,Vaginal,966,10.495541,2.3862996,4,0.097143166,4.503297,-1
SGB171,Vaginal,433,10.504774,-3.1072218,-1,3.430397,-3.3335342,-1
SGB172,Vaginal,2738,12.436882,-1.7065299,4,-0.63960576,-4.274234,4
SGB173,Vaginal,1740,2.5284276,0.2295308,1,14.326416,9.447708,2
SGB174,Vaginal,2048,2.2440553,0.7718989,1,14.49942,10.433646,2
SGB175,Vaginal,1289,9.338902,5.223353,3,-10.299501,15.365501,0
SGB176,Vaginal,1869,2.069846,0.6649008,1,14.526906,10.238274,2
SGB177,Vaginal,1549,12.274604,2.4500735,4,2.783187,10.713209,3
SGB178,Vaginal,1555,12.41485,2.407022,4,1.8932433,1.4041524,7
SGB179,Vaginal,1430,9.816972,2.286409,4,0.7313004,2.03469,7
SGB180,Vaginal,1527,12.834443,3.3113422,4,0.8881619,2.371308,7
SGB181,Vaginal,1633,2.1578915,2.283215,1,14.192186,8.160779,2
SGB182,Vaginal,630,0.039342165,4.0147667,0,16.933187,-0.8163264,1
SGB183,Vaginal,425,10.500345,-3.1260881,-1,3.404255,-3.2874455,-1
SGB184,Vaginal,1346,3.1916897,1.5185086,1,2.7400944,10.991474,3
SGB185,Vaginal,2916,13.104897,-1.0527191,4,-0.81268644,-4.40694,4
SGB186,Vaginal,1346,11.912918,2.32657,4,2.746333,10.645473,3
SGB187,Vaginal,1617,11.174924,2.9054627,4,-0.17154923,0.996239,-1
SGB188,Vaginal,1417,5.8088307,7.001751,2,1.5113336,-0.5867573,6
SGB189,Vaginal,2309,11.901284,0.34530532,4,-1.0946983,-4.7341914,4
SGB190,Vaginal,1781,11.101051,0.87570184,4,0.22254543,4.0146604,-1
SGB191,Vaginal,903,12.519509,-0.5012321,4,0.58424515,-3.3802767,4
SGB192,Vaginal,845,13.436333,2.1211503,-1,1.1461841,1.3874923,7
SGB193,Vaginal,999,12.351654,3.6587198,4,0.5956108,2.0445836,7
SGB194,Vaginal,1033,0.27989328,4.440502,0,17.20512,-0.6098,1
SGB195,Vaginal,1089,0.590887,4.3423433,0,16.979074,-0.5276441,1
SGB196,Vaginal,1424,9.482575,2.5891135,4,0.7052237,2.0533025,7
SGB197,Vaginal,2385,9.18309,4.3240867,3,-9.669633,15.905871,0
SGB198,Vaginal,1304,12.067733,2.883371,4,2.7286158,10.618035,3
SGB199,Vaginal,1982,12.278276,-2.2081733,4,-0.023784293,-4.412328,4
SGB200,Vaginal,981,12.707037,-0.80958635,4,0.6514519,-3.8195517,4
SGB201,Vaginal,4464,5.2101254,-0.37875235,1,3.581263,12.336327,3
SGB202,Vaginal,2384,1.7859421,0.5416674,1,14.8347435,10.593646,2
SGB203,Vaginal,3306,8.309341,1.6443089,4,-9.07266,16.372551,0
SGB204,Vaginal,2126,13.884995,2.1058621,-1,0.35378432,3.1903198,-1
SGB205,Vaginal,1611,11.842558,2.2200372,4,0.41212407,3.1648188,-1
SGB206,Vaginal,1527,2.2541924,-0.06775431,1,1.8971121,-0.6210292,6
SGB207,Vaginal,1162,5.6548204,7.1895595,2,1.3864592,-0.8107926,6
SGB208,Vaginal,1646,12.322035,-2.0943315,4,0.15718122,-4.3481355,4
SGB209,Vaginal,2270,8.938106,4.725052,3,-9.589538,16.055979,0
SGB210,Vaginal,1671,8.081213,2.820075,4,-0.2585887,1.0654198,8
SGB211,Vaginal,1451,3.0849998,1.6641912,1,0.6264509,2.9465482,-1
SGB212,Vaginal,2239,1.8856082,0.51568484,1,14.76906,10.441951,2
SGB213,Vaginal,1658,3.1663396,0.4372441,1,-10.184683,15.342913,0
SGB214,Vaginal,926,14.103661,-1.7890968,4,-0.735108,-3.1932473,5
SGB215,Vaginal,844,9.129478,1.4275008,4,0.04636974,4.587159,-1
SGB216,Vaginal,912,9.892583,5.0881996,3,-10.579283,15.430194,0
SGB217,Vaginal,1093,12.692702,-1.379093,4,0.5001696,-3.996592,4
SGB218,Vaginal,808,8.525398,2.572807,4,14.105588,8.229871,2
SGB219,Vaginal,900,12.524142,-0.44313788,4,0.5574005,-3.4035492,4
SGB220,Vaginal,1009,12.754577,-0.7420044,4,0.4649466,-3.7711565,4
SGB221,Vaginal,1501,11.091744,6.342931,4,-10.067245,14.387267,0
SGB222,Vaginal,625,13.946053,2.159062,-1,0.58137167,-1.1025615,6
SGB223,Vaginal,1436,11.832989,2.8062904,4,1.2415066,1.9796128,7
SGB224,Vaginal,673,9.995901,1.0160408,4,0.026735285,4.1963987,-1
SGB225,Vaginal,1857,14.082043,-1.6986654,4,-1.5594423,-3.5154278,5
SGB226,Vaginal,2333,1.8611709,0.9798344,1,15.03461,10.722607,2
SGB227,Vaginal,1591,12.408242,3.67921,4,2.0688024,1.4494346,7
SGB228,Vaginal,3659,12.272146,-1.0572507,4,3.322211,11.952434,3
SGB229,Vaginal,1033,9.077407,2.525276,4,1.1437099,1.6740221,7
SGB230,Vaginal,1894,2.3210442,0.70783055,1,14.326371,10.45923,2
SGB231,Vaginal,1744,8.580318,1.8008465,4,-9.676788,15.068963,0
SGB232,Vaginal,1714,12.245388,4.2822866,4,0.35389084,-4.0382514,4
SGB233,Vaginal,421,10.485781,-3.125805,-1,3.4517689,-3.2829645,-1
SGB234,Vaginal,1506,10.965373,5.7647552,4,-10.053789,14.265436,0
SGB235,Vaginal,1389,11.756593,1.9194045,4,1.4130348,1.6378422,7
SGB236,Vaginal,1044,11.854495,1.9982116,4,1.2181852,1.7358882,7
SGB237,Vaginal,2901,13.94492,-1.3131063,4,-0.89102346,-4.1676245,4
SGB238,Vaginal,1602,2.0165484,1.7240777,1,14.215362,8.423765,2
SGB239,Vaginal,2011,12.049375,-0.7998808,4,2.9127836,11.080251,3
SGB240,Vaginal,1675,2.0233746,1.700575,1,14.196908,8.475304,2
SGB241,Vaginal,2501,1.9443481,0.96574473,1,14.902563,10.72793,2
SGB242,Vaginal,1109,2.9219508,-0.6924917,1,16.745474,-0.01059271,1
SGB243,Vaginal,1104,5.071978,7.328194,2,1.9696293,-0.8366823,6
SGB244,Vaginal,615,13.711794,1.9043963,-1,0.544743,-1.1591276,-1
SGB245,Vaginal,1788,14.023751,-1.3150047,4,-1.3487751,-3.5692656,5
SGB246,Vaginal,1030,5.533495,7.564007,2,1.3984513,-0.9539901,6
SGB247,Vaginal,968,9.942596,1.0275733,4,0.13049632,4.2000527,-1
SGB248,Vaginal,1498,11.694797,2.7797341,4,1.1574551,2.0575244,7
SGB249,Vaginal,1315,11.051474,6.285469,4,-9.889205,13.960013,0
SGB250,Vaginal,1728,11.076532,0.86906487,4,0.19333336,4.0114536,-1
SGB251,Vaginal,1820,12.574314,3.9320076,4,2.1150467,1.4448016,7
SGB252,Vaginal,1404,12.868528,3.3106122,4,0.9961592,2.412556,7
SGB253,Vaginal,1787,1.9537134,0.4607636,1,14.593544,10.142841,2
SGB254,Vaginal,1787,2.4416113,0.28812885,1,14.541132,10.625919,2
SGB255,Vaginal,1330,2.9048536,1.7417979,1,14.416151,7.816299,2
SGB256,Vaginal,1617,2.8156025,-0.56636107,1,16.744135,0.077347666,1
SGB257,Vaginal,958,12.541495,0.018348085,4,0.964447,-2.4452553,-1
SGB258,Vaginal,831,11.857163,1.3361309,4,-10.537591,15.326717,0
SGB259,Vaginal,1656,8.72874,5.032241,3,-10.361906,15.954506,0
SGB260,Vaginal,1476,12.605728,4.037032,4,0.895124,2.1514158,7
SGB261,Vaginal,1405,8.717795,4.4800653,3,1.5783057,-0.5510923,6
SGB262,Vaginal,951,12.809639,-1.7236301,4,-0.5385051,-2.9123876,-1
SGB263,Vaginal,3452,5.1104727,-0.5564773,1,3.6001315,12.405454,3
SGB264,Vaginal,3099,12.399698,-1.9818517,4,-0.5350856,-4.348142,4
SGB265,Vaginal,2083,13.566932,-1.316781,4,-1.4324319,-3.7193222,5
SGB266,Vaginal,1529,11.142836,6.3721824,4,-9.839974,13.907476,0
SGB267,Vaginal,1326,9.393372,3.9924662,3,-9.980389,13.986161,0
SGB268,Vaginal,917,11.2063675,0.7685083,4,0.12660241,4.2350626,-1
SGB269,Vaginal,1310,10.805318,5.4934864,4,-9.957517,14.029105,0
SGB270,Vaginal,1183,12.337199,1.145507,4,1.2400968,0.71857035,7
SGB271,Vaginal,1139,12.375897,4.129001,4,1.0685828,1.1982416,7
SGB272,Vaginal,1800,9.102919,4.811735,3,-10.02928,15.585402,0
SGB273,Vaginal,1992,12.407417,-2.1846304,4,-0.08531962,-4.3626733,4
SGB274,Vaginal,1972,2.1236064,1.49072,1,14.397413,8.411293,2
SGB275,Vaginal,2207,12.689411,-1.1703844,4,0.38443834,-4.1012053,4
SGB276,Vaginal,1695,2.758698,1.6182704,1,14.412864,7.8567367,2
SGB277,Vaginal,2498,9.362657,4.5527964,3,-9.571278,16.13556,0
SGB278,Vaginal,600,11.785221,1.9214872,4,3.029687,-3.0085616,-1
SGB279,Vaginal,1589,9.196988,4.356259,3,-10.121674,15.580755,0
SGB280,Vaginal,1602,1.4760672,0.18813871,1,1.60222,-0.49008703,6
SGB281,Vaginal,1331,10.397877,3.336194,4,0.16715285,1.4631208,-1
SGB282,Vaginal,3820,8.429039,1.6684017,4,-9.111586,16.402487,0
SGB283,Vaginal,5707,5.119813,-0.6134768,1,3.4448807,12.394956,3
SGB284,Vaginal,856,9.088019,1.4406734,4,0.0756584,4.538722,-1
SGB285,Vaginal,849,5.569731,7.281877,2,1.5319467,-0.9050613,6
SGB286,Vaginal,951,5.5205636,7.3095775,2,1.4072565,-0.8601851,6
SGB287,Vaginal,721,0.25961342,4.5878453,0,16.961317,-0.9058822,1
SGB288,Vaginal,704,5.5590672,7.561274,2,1.4227358,-1.1839309,6
SGB289,Vaginal,625,-0.06871757,4.292813,0,17.056675,-0.8874508,1
SGB290,Vaginal,681,0.08858144,4.057458,0,16.98541,-0.76874775,1
SGB291,Vaginal,2187,9.464883,4.8214445,3,-9.645331,15.939334,0
SGB292,Vaginal,1204,10.927456,4.185187,4,-10.4564495,15.414732,0
SGB293,Vaginal,581,0.33735505,4.516328,0,16.97935,-0.9595357,1
SGB294,Vaginal,635,5.576207,7.496267,2,1.5832832,-1.3258008,6
SGB295,Vaginal,726,10.701951,3.5209281,4,-10.381448,14.796547,0
SGB296,Vaginal,1299,10.706682,3.5695965,4,0.5963392,1.7864275,7
SGB297,Vaginal,1612,2.5978856,0.11386469,1,14.217666,9.338419,2
SGB298,Vaginal,1304,11.260893,3.6386647,4,1.2284366,1.6492851,7
SGB299,Vaginal,1083,12.826959,3.3642511,4,1.029316,2.589267,7
SGB300,Vaginal,1819,12.409648,0.2884609,4,-0.13803954,-4.301311,4
SGB301,Vaginal,1308,12.862144,3.3372595,4,0.9957446,2.5550447,7
SGB302,Vaginal,3880,5.1746826,-0.5807281,1,3.5606143,12.328047,3
SGB303,Vaginal,3314,5.4281254,-0.070618816,1,3.4275846,12.045999,3
SGB304,Vaginal,2582,12.650639,-1.2785387,4,0.48532322,-4.0879364,4
SGB305,Vaginal,2082,2.0179448,0.74015164,1,14.557535,10.145677,2
SGB306,Vaginal,970,-0.030589756,4.2913446,0,17.116325,-0.8891384,1
SGB307,Vaginal,1925,12.385189,2.636783,4,2.047439,1.4172286,7
SGB308,Vaginal,1798,11.213182,0.83767694,4,0.76620364,-0.3568905,-1
SGB309,Vaginal,1408,13.83439,-1.4476372,4,0.4040368,2.3373065,7
SGB310,Vaginal,1866,2.1156693,-0.038366526,1,14.407375,9.121992,2
SGB311,Vaginal,1948,2.0808287,0.68737966,1,14.550874,10.15808,2
SGB312,Vaginal,1227,12.703087,3.828475,4,0.97164583,1.8591286,7
SGB313,Vaginal,1036,9.639531,5.10557,3,-10.430612,15.713533,0
SGB314,Vaginal,2166,1.5260283,0.13321353,1,14.587459,8.623117,2
SGB315,Vaginal,1215,13.798875,1.9931504,-1,0.508167,-1.1700431,-1
SGB316,Vaginal,1586,11.685317,3.2656927,4,0.80586797,2.4735959,7
SGB317,Vaginal,1564,2.8803973,1.6886075,1,14.368223,7.82549,2
SGB318,Vaginal,1415,1.875562,0.92603827,1,14.10203,8.736575,2
SGB319,Vaginal,2042,9.430607,2.0995858,4,0.12927315,3.9960918,-1
SGB320,Vaginal,2862,12.475427,-1.6932402,4,-0.66090155,-4.2218328,4
SGB321,Vaginal,1604,10.342322,3.5074458,4,-10.047065,14.995902,0
SGB322,Vaginal,1846,11.967442,0.39300728,4,-1.0947063,-4.755564,4
SGB323,Vaginal,1526,1.7107166,1.4438336,1,-9.995757,14.173467,0
SGB324,Vaginal,1447,1.5132002,0.2626766,1,1.5589925,-0.51350427,6
SGB325,Vaginal,2195,2.0655832,0.20000671,1,14.696712,10.551567,2
SGB326,Vaginal,1905,1.8874481,0.45698792,1,14.42756,9.228311,2
SGB327,Vaginal,1373,11.011518,5.960287,4,-10.092142,14.343588,0
SGB328,Vaginal,1490,2.1435528,2.306634,1,14.159014,8.127073,2
SGB329,Vaginal,2219,5.192281,-0.40341386,1,3.66838,12.3502035,3
SGB330,Vaginal,1351,12.869267,-0.8199994,4,0.64789563,-3.8556318,4
SGB331,Vaginal,1631,2.9579005,-0.68467915,1,16.719975,0.078106135,1
SGB332,Vaginal,1711,12.160161,3.3113062,4,2.0567892,1.5123718,7
SGB333,Vaginal,2441,8.377149,1.662871,4,-9.170215,16.319618,0
SGB334,Vaginal,1224,1.9270931,2.389383,1,14.061043,8.34489,2
SGB335,Vaginal,715,5.098593,7.320124,2,2.0161843,-0.84309804,6
SGB336,Vaginal,1404,11.143505,0.8470226,4,0.25410947,4.091874,-1
